;0
0;0.0044748655772626385
1;0.0043524311684775795
2;0.004359209388408974
3;0.004329208726971042
4;0.004166155027311494
5;0.004483743825067513
6;0.0026491434845836073
7;0.0019542950366213093
8;-0.0031954844256267944
9;-0.00674383126326369
10;-0.009060576873291152
11;-0.015059087852422808
12;-0.015638002708103404
13;-0.01753468737674018
14;-0.019748584165105446
15;-0.01175431087573413
16;-0.005182700711590437
17;0.0027753161866619584
18;0.004660711678906805
19;0.005960963761995072
20;0.008551746775497804
21;0.008567774622026361
22;0.007964946461770678
23;0.00486560662617937
